Source,Target,Line Name,Flows
Wembley Park,Kingsbury,Jubilee,9989
Wembley Park,Neasden,Jubilee,4996
Wembley Park,Preston Road,Metropolitan,6299
Wembley Park,Finchley Road,Metropolitan,30679
Kingsbury,Queensbury,Jubilee,7666
Queensbury,Canons Park,Jubilee,4916
Canons Park,Stanmore,Jubilee,2641
Stratford,West Ham,Jubilee,11605
Stratford,Mile End,Central,38505
Stratford,Leyton,Central,50355
Stratford,Liverpool Street,TfL Rail,20002
Stratford,Maryland,TfL Rail,28956
Stratford,Hackney Wick,London Overground,19394
Stratford,Stratford High Street,DLR,1060
Stratford,Pudding Mill Lane,DLR,4628
Stratford,Stratford International,DLR,2287
West Ham,Canning Town,Jubilee,10951
West Ham,Bromley-by-Bow,District,26934
West Ham,Bromley-by-Bow,Hammersmith & City,0
West Ham,Plaistow,District,28676
West Ham,Plaistow,Hammersmith & City,0
West Ham,Abbey Road,DLR,3828
West Ham,Star Lane,DLR,5138
Canning Town,North Greenwich,Jubilee,11342
Canning Town,Star Lane,DLR,5160
Canning Town,Royal Victoria,DLR,6705
Canning Town,East India,DLR,7067
Canning Town,West Silvertown,DLR,12380
North Greenwich,Canary Wharf,Jubilee,12143
Canary Wharf,Canada Water,Jubilee,17562
Canary Wharf,West India Quay,DLR,17817
Canary Wharf,Heron Quays,DLR,14135
Canada Water,Bermondsey,Jubilee,27689
Canada Water,Rotherhithe,London Overground,13555
Canada Water,Surrey Quays,London Overground,22327
Bermondsey,London Bridge,Jubilee,29263
London Bridge,Southwark,Jubilee,33876
London Bridge,Bank and Monument,Northern,43007
London Bridge,Borough,Northern,40059
Southwark,Waterloo,Jubilee,31222
Waterloo,Westminster,Jubilee,20088
Waterloo,Embankment,Northern,46986
Waterloo,Embankment,Bakerloo,2869
Waterloo,Kennington,Northern,21682
Waterloo,Bank and Monument,Waterloo & City,22457
Waterloo,Lambeth North,Bakerloo,5859
Westminster,Green Park,Jubilee,16107
Westminster,St. James's Park,Circle,32371
Westminster,St. James's Park,District,0
Westminster,Embankment,Circle,28219
Westminster,Embankment,District,0
Green Park,Bond Street,Jubilee,18960
Green Park,Victoria,Victoria,55362
Green Park,Oxford Circus,Victoria,38306
Green Park,Hyde Park Corner,Piccadilly,16582
Green Park,Piccadilly Circus,Piccadilly,18938
Bond Street,Baker Street,Jubilee,9047
Bond Street,Marble Arch,Central,36874
Bond Street,Oxford Circus,Central,34150
Baker Street,St. John's Wood,Jubilee,29915
Baker Street,Great Portland Street,Circle,32803
Baker Street,Great Portland Street,Metropolitan,5731
Baker Street,Great Portland Street,Hammersmith & City,0
Baker Street,Edgware Road,Circle,31068
Baker Street,Edgware Road,Hammersmith & City,0
Baker Street,Finchley Road,Metropolitan,32241
Baker Street,Marylebone,Bakerloo,14285
Baker Street,Regent's Park,Bakerloo,13697
St. John's Wood,Swiss Cottage,Jubilee,28674
Swiss Cottage,Finchley Road,Jubilee,3073
Finchley Road,West Hampstead,Jubilee,26654
Neasden,Dollis Hill,Jubilee,11870
Dollis Hill,Willesden Green,Jubilee,13479
Willesden Green,Kilburn,Jubilee,18172
Kilburn,West Hampstead,Jubilee,21454
West Hampstead,Brondesbury,London Overground,12104
West Hampstead,Finchley Road & Frognal,London Overground,15452
West Acton,Ealing Broadway,Central,3427
West Acton,North Acton,Central,3602
Ealing Broadway,Ealing Common,District,5141
North Acton,Hanger Lane,Central,11852
North Acton,East Acton,Central,7431
West Ruislip,Ruislip Gardens,Central,1083
Ruislip Gardens,South Ruislip,Central,1983
South Ruislip,Northolt,Central,3303
Northolt,Greenford,Central,6700
Greenford,Perivale,Central,9032
Perivale,Hanger Lane,Central,10347
East Acton,White City,Central,7745
White City,Shepherd's Bush,Central,12241
Shepherd's Bush,Holland Park,Central,11516
Shepherd's Bush,Kensington,London Overground,5504
Shepherd's Bush,Willesden Junction,London Overground,2771
Holland Park,Notting Hill Gate,Central,31438
Notting Hill Gate,Queensway,Central,10947
Notting Hill Gate,High Street Kensington,Circle,18812
Notting Hill Gate,High Street Kensington,District,8400
Notting Hill Gate,Bayswater,Circle,17839
Notting Hill Gate,Bayswater,District,0
Queensway,Lancaster Gate,Central,11862
Lancaster Gate,Marble Arch,Central,12811
Oxford Circus,Tottenham Court Road,Central,31876
Oxford Circus,Warren Street,Victoria,53575
Oxford Circus,Regent's Park,Bakerloo,15815
Oxford Circus,Piccadilly Circus,Bakerloo,16622
Tottenham Court Road,Holborn,Central,28392
Tottenham Court Road,Goodge Street,Northern,17370
Tottenham Court Road,Leicester Square,Northern,14105
Holborn,Chancery Lane,Central,37550
Holborn,Covent Garden,Piccadilly,30218
Holborn,Russell Square,Piccadilly,37187
Chancery Lane,St. Paul's,Central,47047
St. Paul's,Bank and Monument,Central,53790
Bank and Monument,Liverpool Street,Central,43681
Bank and Monument,Moorgate,Northern,33731
Bank and Monument,Cannon Street,Circle,19470
Bank and Monument,Cannon Street,District,0
Bank and Monument,Tower Hill,Circle,44302
Bank and Monument,Tower Hill,District,6433
Bank and Monument,Shadwell,DLR,18155
Liverpool Street,Bethnal Green,Central,53953
Liverpool Street,Bethnal Green,London Overground,2643
Liverpool Street,Aldgate,Circle,19094
Liverpool Street,Aldgate,Metropolitan,0
Liverpool Street,Moorgate,Circle,33854
Liverpool Street,Moorgate,Metropolitan,0
Liverpool Street,Moorgate,Hammersmith & City,5361
Liverpool Street,Aldgate East,Hammersmith & City,9862
Bethnal Green,Mile End,Central,36369
Bethnal Green,Cambridge Heath,London Overground,15228
Mile End,Stepney Green,District,37712
Mile End,Stepney Green,Hammersmith & City,0
Mile End,Bow Road,District,31443
Mile End,Bow Road,Hammersmith & City,0
Leyton,Leytonstone,Central,43564
Leytonstone,Snaresbrook,Central,20012
Leytonstone,Wanstead,Central,18024
Snaresbrook,South Woodford,Central,18517
South Woodford,Woodford,Central,14801
Woodford,Buckhurst Hill,Central,8924
Woodford,Roding Valley,Central,1648
Buckhurst Hill,Loughton,Central,7472
Loughton,Debden,Central,4968
Debden,Theydon Bois,Central,3526
Theydon Bois,Epping,Central,2899
Wanstead,Redbridge,Central,16302
Redbridge,Gants Hill,Central,14314
Gants Hill,Newbury Park,Central,9206
Newbury Park,Barkingside,Central,5262
Barkingside,Fairlop,Central,4002
Fairlop,Hainault,Central,3048
Hainault,Grange Hill,Central,109
Grange Hill,Chigwell,Central,859
Chigwell,Roding Valley,Central,1304
Edgware,Burnt Oak,Northern,3405
Burnt Oak,Colindale,Northern,6328
Colindale,Hendon Central,Northern,11345
Hendon Central,Brent Cross,Northern,14809
Brent Cross,Golders Green,Northern,15879
Golders Green,Hampstead,Northern,19613
Hampstead,Belsize Park,Northern,20686
Belsize Park,Chalk Farm,Northern,22545
Chalk Farm,Camden Town,Northern,24537
Camden Town,Euston,Northern,55970
